timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
16982,1.033936,0.159424,-0.042725,-5.061069,1.893130,-0.473282,1.047026,5.424237,lying
17002,1.026367,0.161377,-0.044189,-4.748092,1.992366,-0.541985,1.039916,5.177610,lying
17022,1.028076,0.153809,-0.053467,-4.832061,1.854962,-0.687023,1.040892,5.221274,lying
17042,1.033691,0.162354,-0.045410,-4.954198,2.450382,-0.595420,1.047348,5.559044,lying
17062,1.037109,0.156738,-0.047363,-5.007634,1.961832,-0.595420,1.049955,5.411072,lying
17082,1.030029,0.157959,-0.050537,-5.091603,1.893130,-0.526718,1.043295,5.457636,lying
17102,1.034912,0.165039,-0.046143,-4.847328,1.969466,-0.625954,1.049004,5.269460,lying
17122,1.028320,0.159180,-0.039795,-5.091603,1.877863,-0.412214,1.041328,5.442491,lying
17142,1.029297,0.153564,-0.052490,-4.847328,2.053435,-0.587786,1.042012,5.297044,lying
17162,1.034912,0.155029,-0.046143,-4.770992,1.938931,-0.412214,1.047476,5.166405,lying
17182,1.033691,0.161377,-0.052979,-4.931298,2.366412,-0.717557,1.047553,5.516565,lying
17202,1.030273,0.157227,-0.041748,-4.938931,2.007634,-0.564885,1.043037,5.361225,lying
17222,1.034424,0.156250,-0.048828,-5.015267,1.480916,0.167939,1.047297,5.232038,lying
17242,1.023438,0.162109,-0.049805,-4.679389,1.839695,-0.427481,1.037393,5.046177,lying
17262,1.029541,0.153564,-0.047119,-5.022901,2.328244,-0.702290,1.041996,5.580633,lying
17282,1.036133,0.152832,-0.052734,-4.885496,1.870229,-0.213740,1.048670,5.235600,lying
17302,1.050781,0.155762,-0.051270,-5.038168,2.404580,-0.656489,1.063500,5.621043,lying
17322,1.038330,0.156250,-0.050049,-5.129771,2.877863,-1.732824,1.051213,6.131829,lying
17342,1.027588,0.155029,-0.040527,-5.267176,2.328244,-1.160305,1.040006,5.874536,lying
17362,1.026855,0.159180,-0.042480,-5.076336,1.442748,-1.030534,1.039988,5.377054,lying
17382,1.030029,0.158447,-0.043945,-4.923664,1.572519,-0.496183,1.043071,5.192445,lying
17402,1.040039,0.162598,-0.052002,-5.137404,1.366412,-0.297710,1.053956,5.324344,lying
17422,1.036621,0.161133,-0.040527,-5.343512,0.992366,0.091603,1.049852,5.435650,lying
17442,1.028320,0.156982,-0.050293,-4.816794,1.183206,0.152672,1.041449,4.962337,lying
17462,1.031250,0.155518,-0.041016,-4.969466,1.229008,0.114504,1.043717,5.120465,lying
17482,1.029297,0.160400,-0.053955,-5.167939,1.618321,-0.190840,1.043116,5.418761,lying
