timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
98602,-0.140869,0.101807,0.956299,-4.839694,1.832061,-0.625954,0.971965,5.212572,normal
98622,-0.139404,0.099121,0.969482,-5.198473,2.068702,-0.755725,0.984457,5.645775,normal
98642,-0.149414,0.100830,0.968994,-4.885496,2.167939,-0.908397,0.985617,5.421551,normal
98662,-0.136475,0.094238,0.964600,-4.641222,1.335878,-1.137405,0.978754,4.961774,normal
98682,-0.145020,0.104980,0.964111,-4.816794,2.213740,-0.893130,0.980593,5.375856,normal
98702,-0.145020,0.097168,0.970215,-4.832061,2.290076,-0.870229,0.985794,5.417616,normal
98722,-0.144531,0.100342,0.955078,-4.946565,2.038168,-0.610687,0.971150,5.384753,normal
98742,-0.138428,0.091064,0.959961,-4.862596,2.328244,-0.977099,0.974156,5.479077,normal
98762,-0.142090,0.098633,0.966553,-4.709924,2.045802,-0.862595,0.981907,5.206991,normal
98782,-0.143555,0.099121,0.961426,-4.908397,2.007634,-0.351145,0.977125,5.314721,normal
98802,-0.140137,0.093750,0.956787,-4.832061,2.129771,-1.083969,0.971529,5.390708,normal
98822,-0.141113,0.091064,0.951416,-4.687023,2.465649,-0.893130,0.966125,5.370781,normal
98842,-0.143799,0.091797,0.966309,-4.847328,2.450382,-0.770992,0.981253,5.485927,normal
98862,-0.140869,0.095703,0.956787,-4.885496,2.190840,-0.809160,0.971825,5.415034,normal
98882,-0.144043,0.098877,0.965332,-4.793893,1.541985,-0.564885,0.981015,5.067369,normal
98902,-0.140625,0.099854,0.957520,-4.931298,1.564885,-0.435115,0.972928,5.191906,normal
98922,-0.135254,0.103271,0.960449,-4.923664,2.083969,-0.435115,0.975408,5.364207,normal
98942,-0.144531,0.100342,0.968262,-5.106870,3.282443,-0.572519,0.984118,6.097732,normal
98962,-0.155518,0.099609,0.966309,-4.900764,2.007634,-0.587786,0.983799,5.328562,normal
98982,-0.142578,0.100586,0.961670,-4.763359,1.648855,-0.366412,0.977372,5.053966,normal
